symbol,date,close_price,currency
CHN300,2024-01-31,5.9022,CNY
CHN300,2024-02-29,5.9978,CNY
CHN300,2024-03-31,5.9023,CNY
CHN300,2024-04-30,6.1836,CNY
CHN300,2024-05-31,6.7567,CNY
CHN300,2024-06-30,7.0178,CNY
CHN300,2024-07-31,7.4604,CNY
CHN300,2024-08-31,6.7480,CNY
CHN300,2024-09-30,6.5393,CNY
CHN300,2024-10-31,6.2619,CNY
CHN300,2024-11-30,6.2238,CNY
CHN300,2024-12-31,6.1856,CNY
CHN500,2024-01-31,8.8992,CNY
CHN500,2024-02-29,9.2418,CNY
CHN500,2024-03-31,9.3911,CNY
CHN500,2024-04-30,8.5448,CNY
CHN500,2024-05-31,8.6993,CNY
CHN500,2024-06-30,8.6004,CNY
CHN500,2024-07-31,8.1117,CNY
CHN500,2024-08-31,7.1383,CNY
CHN500,2024-09-30,7.7120,CNY
CHN500,2024-10-31,7.2803,CNY
CHN500,2024-11-30,7.3281,CNY
CHN500,2024-12-31,7.1843,CNY
CHN1000,2024-01-31,4.2929,CNY
CHN1000,2024-02-29,4.1528,CNY
CHN1000,2024-03-31,4.4655,CNY
CHN1000,2024-04-30,4.5081,CNY
CHN1000,2024-05-31,4.4368,CNY
CHN1000,2024-06-30,3.9044,CNY
CHN1000,2024-07-31,4.0411,CNY
CHN1000,2024-08-31,4.5261,CNY
CHN1000,2024-09-30,4.9832,CNY
CHN1000,2024-10-31,5.4975,CNY
CHN1000,2024-11-30,5.8830,CNY
CHN1000,2024-12-31,6.3485,CNY
SSE50,2024-01-31,3.7615,CNY
SSE50,2024-02-29,3.8112,CNY
SSE50,2024-03-31,3.6528,CNY
SSE50,2024-04-30,3.9095,CNY
SSE50,2024-05-31,3.6459,CNY
SSE50,2024-06-30,3.4821,CNY
SSE50,2024-07-31,3.5908,CNY
SSE50,2024-08-31,3.5598,CNY
SSE50,2024-09-30,3.6367,CNY
SSE50,2024-10-31,3.9579,CNY
SSE50,2024-11-30,4.4329,CNY
SSE50,2024-12-31,4.4826,CNY
CHINEXT,2024-01-31,5.9634,CNY
CHINEXT,2024-02-29,6.0543,CNY
CHINEXT,2024-03-31,5.5005,CNY
CHINEXT,2024-04-30,5.4030,CNY
CHINEXT,2024-05-31,5.3922,CNY
CHINEXT,2024-06-30,5.6515,CNY
CHINEXT,2024-07-31,5.8613,CNY
CHINEXT,2024-08-31,5.9996,CNY
CHINEXT,2024-09-30,6.0974,CNY
CHINEXT,2024-10-31,6.1646,CNY
CHINEXT,2024-11-30,6.6973,CNY
CHINEXT,2024-12-31,7.5010,CNY
USP500,2024-01-31,107.3913,USD
USP500,2024-02-29,115.7362,USD
USP500,2024-03-31,110.4909,USD
USP500,2024-04-30,110.9012,USD
USP500,2024-05-31,105.7039,USD
USP500,2024-06-30,103.8970,USD
USP500,2024-07-31,107.0976,USD
USP500,2024-08-31,102.6780,USD
USP500,2024-09-30,114.8544,USD
USP500,2024-10-31,125.0530,USD
USP500,2024-11-30,123.2383,USD
