symbol,date,close_price,currency
CHN300,2021-01-31,4.1260,CNY
CHN300,2021-02-28,4.6211,CNY
CHN300,2021-03-31,4.8472,CNY
CHN300,2021-04-30,4.9804,CNY
CHN300,2021-05-31,5.0540,CNY
CHN300,2021-06-30,4.6831,CNY
CHN300,2021-07-31,4.4256,CNY
CHN300,2021-08-31,4.3472,CNY
CHN300,2021-09-30,4.6329,CNY
CHN300,2021-10-31,5.0970,CNY
CHN300,2021-11-30,4.6417,CNY
CHN300,2021-12-31,4.3739,CNY
CHN500,2021-01-31,5.6347,CNY
CHN500,2021-02-28,5.6995,CNY
CHN500,2021-03-31,5.6567,CNY
CHN500,2021-04-30,6.2083,CNY
CHN500,2021-05-31,6.9310,CNY
CHN500,2021-06-30,7.7627,CNY
CHN500,2021-07-31,8.2229,CNY
CHN500,2021-08-31,8.6174,CNY
CHN500,2021-09-30,7.7947,CNY
CHN500,2021-10-31,8.0462,CNY
CHN500,2021-11-30,7.8425,CNY
CHN500,2021-12-31,7.9487,CNY
CHN1000,2021-01-31,3.1007,CNY
CHN1000,2021-02-28,3.3174,CNY
CHN1000,2021-03-31,3.4556,CNY
CHN1000,2021-04-30,3.5029,CNY
CHN1000,2021-05-31,3.5552,CNY
CHN1000,2021-06-30,3.9818,CNY
CHN1000,2021-07-31,3.5558,CNY
CHN1000,2021-08-31,3.9472,CNY
CHN1000,2021-09-30,3.8085,CNY
CHN1000,2021-10-31,3.8701,CNY
CHN1000,2021-11-30,3.9555,CNY
CHN1000,2021-12-31,4.3631,CNY
SSE50,2021-01-31,4.2000,CNY
SSE50,2021-02-28,4.1469,CNY
SSE50,2021-03-31,4.2624,CNY
SSE50,2021-04-30,4.5417,CNY
SSE50,2021-05-31,4.9402,CNY
SSE50,2021-06-30,4.7040,CNY
SSE50,2021-07-31,4.4303,CNY
SSE50,2021-08-31,4.7323,CNY
SSE50,2021-09-30,4.6499,CNY
SSE50,2021-10-31,4.7169,CNY
SSE50,2021-11-30,4.7812,CNY
SSE50,2021-12-31,4.6101,CNY
CHINEXT,2021-01-31,7.0706,CNY
CHINEXT,2021-02-28,7.3028,CNY
CHINEXT,2021-03-31,8.0805,CNY
CHINEXT,2021-04-30,8.3654,CNY
CHINEXT,2021-05-31,7.3615,CNY
CHINEXT,2021-06-30,7.2460,CNY
CHINEXT,2021-07-31,7.4260,CNY
CHINEXT,2021-08-31,8.1371,CNY
CHINEXT,2021-09-30,9.1135,CNY
CHINEXT,2021-10-31,8.7348,CNY
CHINEXT,2021-11-30,9.1522,CNY
CHINEXT,2021-12-31,9.9772,CNY
USP500,2021-01-31,97.8343,USD
USP500,2021-02-28,108.9400,USD
USP500,2021-03-31,116.0274,USD
USP500,2021-04-30,106.3815,USD
USP500,2021-05-31,107.9265,USD
USP500,2021-06-30,108.0079,USD
USP500,2021-07-31,106.6621,USD
USP500,2021-08-31,102.3006,USD
USP500,2021-09-30,104.4054,USD
USP500,2021-10-31,99.7053,USD
USP500,2021-11-30,98.5771,USD
USP500,2021-12-31,101.4168,USD
USN100,2021-01-31,105.6000,USD
USN100,2021-02-28,94.7078,USD
USN100,2021-03-31,100.1901,USD
USN100,2021-04-30,112.2129,USD
USN100,2021-05-31,109.3623,USD
USN100,2021-06-30,112.1417,USD
USN100,2021-07-31,115.9601,USD
USN100,2021-08-31,119.6145,USD
USN100,2021-09-30,108.5592,USD
USN100,2021-10-31,105.9579,USD
USN100,2021-11-30,105.2983,USD
USN100,2021-12-31,116.5274,USD
USDJIA,2021-01-31,84.8757,USD
USDJIA,2021-02-28,83.7449,USD
USDJIA,2021-03-31,84.4783,USD
USDJIA,2021-04-30,86.3612,USD
USDJIA,2021-05-31,86.5619,USD
USDJIA,2021-06-30,93.0374,USD
USDJIA,2021-07-31,97.0016,USD
USDJIA,2021-08-31,97.6411,USD
USDJIA,2021-09-30,101.3127,USD
USDJIA,2021-10-31,102.2910,USD
USDJIA,2021-11-30,99.5554,USD
USDJIA,2021-12-31,101.0274,USD
USR2000,2021-01-31,78.1460,USD
USR2000,2021-02-28,76.7920,USD
USR2000,2021-03-31,80.1378,USD
USR2000,2021-04-30,84.8790,USD
USR2000,2021-05-31,80.6007,USD
USR2000,2021-06-30,76.7366,USD
USR2000,2021-07-31,67.5282,USD
USR2000,2021-08-31,72.1116,USD
USR2000,2021-09-30,70.2734,USD
USR2000,2021-10-31,77.8998,USD
USR2000,2021-11-30,75.1184,USD
USR2000,2021-12-31,81.0407,USD
WORLD,2021-01-31,89.4230,USD
WORLD,2021-02-28,84.7222,USD
WORLD,2021-03-31,87.3247,USD
WORLD,2021-04-30,87.7053,USD
WORLD,2021-05-31,87.6910,USD
WORLD,2021-06-30,89.6888,USD
WORLD,2021-07-31,84.8352,USD
WORLD,2021-08-31,83.9023,USD
WORLD,2021-09-30,82.1413,USD
WORLD,2021-10-31,84.4968,USD
WORLD,2021-11-30,85.1803,USD
WORLD,2021-12-31,78.7677,USD
EMERGE,2021-01-31,52.0754,USD
EMERGE,2021-02-28,52.4215,USD
EMERGE,2021-03-31,54.8189,USD
EMERGE,2021-04-30,52.0158,USD
EMERGE,2021-05-31,50.2307,USD
EMERGE,2021-06-30,55.6101,USD
EMERGE,2021-07-31,50.1963,USD
EMERGE,2021-08-31,48.2045,USD
EMERGE,2021-09-30,48.7538,USD
EMERGE,2021-10-31,47.9435,USD
EMERGE,2021-11-30,50.3434,USD
EMERGE,2021-12-31,51.2275,USD
ALLWORLD,2021-01-31,103.7678,USD
ALLWORLD,2021-02-28,110.3261,USD
ALLWORLD,2021-03-31,112.5014,USD
ALLWORLD,2021-04-30,112.6048,USD
ALLWORLD,2021-05-31,118.4874,USD
ALLWORLD,2021-06-30,122.6603,USD
ALLWORLD,2021-07-31,123.0700,USD
ALLWORLD,2021-08-31,126.5206,USD
ALLWORLD,2021-09-30,127.8936,USD
ALLWORLD,2021-10-31,138.6831,USD
ALLWORLD,2021-11-30,138.7546,USD
ALLWORLD,2021-12-31,140.9563,USD
JPN225,2021-01-31,1931.8516,JPY
JPN225,2021-02-28,2026.5555,JPY
JPN225,2021-03-31,2163.7059,JPY
JPN225,2021-04-30,2177.4974,JPY
JPN225,2021-05-31,1952.9736,JPY
JPN225,2021-06-30,1967.7534,JPY
JPN225,2021-07-31,1991.2933,JPY
JPN225,2021-08-31,2062.1339,JPY
JPN225,2021-09-30,2249.0489,JPY
JPN225,2021-10-31,2264.2045,JPY
JPN225,2021-11-30,2308.0651,JPY
JPN225,2021-12-31,2186.4551,JPY
JPTOPIX,2021-01-31,1497.8784,JPY
JPTOPIX,2021-02-28,1603.4807,JPY
JPTOPIX,2021-03-31,1699.8062,JPY
JPTOPIX,2021-04-30,1648.0547,JPY
JPTOPIX,2021-05-31,1735.7107,JPY
JPTOPIX,2021-06-30,1690.7338,JPY
JPTOPIX,2021-07-31,1610.6072,JPY
JPTOPIX,2021-08-31,1573.8209,JPY
