symbol,date,close_price,currency
CHN300,2022-01-31,4.4271,CNY
CHN300,2022-02-28,3.9848,CNY
CHN300,2022-03-31,4.0456,CNY
CHN300,2022-04-30,4.0411,CNY
CHN300,2022-05-31,4.0701,CNY
CHN300,2022-06-30,4.1341,CNY
CHN300,2022-07-31,3.7932,CNY
CHN300,2022-08-31,3.8128,CNY
CHN300,2022-09-30,4.0561,CNY
CHN300,2022-10-31,3.8112,CNY
CHN300,2022-11-30,3.5546,CNY
CHN300,2022-12-31,3.7515,CNY
CHN500,2022-01-31,8.7361,CNY
CHN500,2022-02-28,8.6596,CNY
CHN500,2022-03-31,7.8591,CNY
CHN500,2022-04-30,8.2490,CNY
CHN500,2022-05-31,8.4801,CNY
CHN500,2022-06-30,7.8187,CNY
CHN500,2022-07-31,8.7569,CNY
CHN500,2022-08-31,8.6565,CNY
CHN500,2022-09-30,9.4089,CNY
CHN500,2022-10-31,9.8081,CNY
CHN500,2022-11-30,10.1045,CNY
CHN500,2022-12-31,9.8148,CNY
CHN1000,2022-01-31,3.9006,CNY
CHN1000,2022-02-28,4.3127,CNY
CHN1000,2022-03-31,4.3688,CNY
CHN1000,2022-04-30,4.3565,CNY
CHN1000,2022-05-31,4.5395,CNY
CHN1000,2022-06-30,4.5057,CNY
CHN1000,2022-07-31,4.4995,CNY
CHN1000,2022-08-31,4.1438,CNY
CHN1000,2022-09-30,4.3170,CNY
CHN1000,2022-10-31,4.1626,CNY
CHN1000,2022-11-30,4.3071,CNY
CHN1000,2022-12-31,4.1903,CNY
SSE50,2022-01-31,4.3221,CNY
SSE50,2022-02-28,4.3909,CNY
SSE50,2022-03-31,4.3522,CNY
SSE50,2022-04-30,4.2517,CNY
SSE50,2022-05-31,4.2503,CNY
SSE50,2022-06-30,3.9962,CNY
SSE50,2022-07-31,4.0665,CNY
SSE50,2022-08-31,4.4707,CNY
SSE50,2022-09-30,4.9927,CNY
SSE50,2022-10-31,4.7364,CNY
SSE50,2022-11-30,4.5629,CNY
SSE50,2022-12-31,4.3598,CNY
CHINEXT,2022-01-31,9.7354,CNY
CHINEXT,2022-02-28,9.6160,CNY
CHINEXT,2022-03-31,8.7655,CNY
CHINEXT,2022-04-30,7.7136,CNY
CHINEXT,2022-05-31,7.1120,CNY
CHINEXT,2022-06-30,6.8908,CNY
CHINEXT,2022-07-31,7.0439,CNY
CHINEXT,2022-08-31,6.8413,CNY
CHINEXT,2022-09-30,6.0203,CNY
CHINEXT,2022-10-31,5.7367,CNY
CHINEXT,2022-11-30,5.1558,CNY
CHINEXT,2022-12-31,5.4330,CNY
USP500,2022-01-31,96.5287,USD
USP500,2022-02-28,96.4138,USD
USP500,2022-03-31,99.1713,USD
USP500,2022-04-30,102.1286,USD
USP500,2022-05-31,97.8627,USD
USP500,2022-06-30,95.9180,USD
USP500,2022-07-31,99.0121,USD
USP500,2022-08-31,102.1358,USD
USP500,2022-09-30,101.0684,USD
USP500,2022-10-31,100.3451,USD
USP500,2022-11-30,90.7983,USD
USP500,2022-12-31,87.1211,USD
USN100,2022-01-31,119.4268,USD
USN100,2022-02-28,126.7625,USD
USN100,2022-03-31,126.9121,USD
USN100,2022-04-30,128.5971,USD
USN100,2022-05-31,113.1655,USD
USN100,2022-06-30,113.2312,USD
USN100,2022-07-31,119.8381,USD
USN100,2022-08-31,110.3254,USD
USN100,2022-09-30,118.4326,USD
USN100,2022-10-31,116.2067,USD
USN100,2022-11-30,121.3391,USD
USN100,2022-12-31,126.4609,USD
USDJIA,2022-01-31,98.7438,USD
USDJIA,2022-02-28,94.9125,USD
USDJIA,2022-03-31,94.7831,USD
USDJIA,2022-04-30,99.3486,USD
USDJIA,2022-05-31,97.9151,USD
USDJIA,2022-06-30,96.1160,USD
USDJIA,2022-07-31,99.5608,USD
USDJIA,2022-08-31,95.9857,USD
USDJIA,2022-09-30,92.0194,USD
USDJIA,2022-10-31,91.0574,USD
USDJIA,2022-11-30,91.0848,USD
USDJIA,2022-12-31,91.1720,USD
USR2000,2022-01-31,79.4446,USD
USR2000,2022-02-28,86.5964,USD
USR2000,2022-03-31,83.0513,USD
USR2000,2022-04-30,85.9022,USD
USR2000,2022-05-31,77.4178,USD
