symbol,date,close_price,currency
CHN300,2020-12-31,4.2000,CNY
CHN500,2020-12-31,5.6000,CNY
CHN1000,2020-12-31,2.8500,CNY
SSE50,2020-12-31,3.7500,CNY
CHINEXT,2020-12-31,6.4000,CNY
USP500,2020-12-31,100.0000,USD
USN100,2020-12-31,120.0000,USD
USDJIA,2020-12-31,85.0000,USD
USR2000,2020-12-31,75.0000,USD
WORLD,2020-12-31,95.0000,USD
EMERGE,2020-12-31,52.0000,USD
ALLWORLD,2020-12-31,105.0000,USD
JPN225,2020-12-31,1800.0000,JPY
JPTOPIX,2020-12-31,1450.0000,JPY
KOR200,2020-12-31,14500.0000,KRW
EU600,2020-12-31,80.0000,EUR
GERDAX,2020-12-31,135.0000,EUR
