tracking_index,as_of_date,pe_ratio,pb_ratio
CSI 1000,2020-12-31,28.0,2.5
CSI 1000,2021-03-31,33.54718812842382,3.0077674838017843
CSI 1000,2021-06-30,38.19720527239453,3.438949627428698
CSI 1000,2021-09-30,36.10151934929108,3.263818834119178
CSI 1000,2021-12-31,40.86827060682307,3.710162017352616
CSI 1000,2022-03-31,40.43644147586677,3.6862570030909447
CSI 1000,2022-06-30,41.20902286436771,3.7723445924134755
CSI 1000,2022-09-30,39.01500947851122,3.5863847178439863
CSI 1000,2022-12-31,37.420904483218166,3.4541848781501927
CSI 1000,2023-03-31,32.97791532180215,3.0567541359181543
CSI 1000,2023-06-30,34.016924315809526,3.1662011553148317
CSI 1000,2023-09-30,33.90825258042195,3.1692390228103706
CSI 1000,2023-12-31,34.9604007114576,3.281196974519193
CSI 1000,2024-03-31,37.56961427865289,3.540777289699475
CSI 1000,2024-06-30,32.45939302414855,3.0719098985317723
CSI 1000,2024-09-30,40.936802071989625,3.8903462593975644
CSI 1000,2024-12-31,51.53424606740006,4.9178668593500605
CSI 1000,2025-03-31,57.01215097164372,5.463287821922828
CSI 1000,2025-06-30,60.31108324870722,5.803502737403578
CSI 1000,2025-09-30,65.27662590933505,6.3074937087775425
CSI 1000,2025-12-31,65.71537656414853,6.376348071843137
CSI 300,2020-12-31,12.8,1.4
CSI 300,2021-03-31,14.554107436077881,1.6001320458859454
CSI 300,2021-06-30,13.853580297415382,1.5310327466624816
CSI 300,2021-09-30,13.502545033666467,1.4999961147546077
CSI 300,2021-12-31,12.559292525826157,1.4024654970850239
CSI 300,2022-03-31,11.444937100196068,1.2846722745647208
CSI 300,2022-06-30,11.522467933638888,1.3000989045029065
CSI 300,2022-09-30,11.137994601991826,1.2632531642060931
CSI 300,2022-12-31,10.149324369652415,1.1571053951369188
CSI 300,2023-03-31,10.78643749018687,1.2361347969746037
CSI 300,2023-06-30,12.092357090767313,1.3929992470519617
CSI 300,2023-09-30,12.757606249344857,1.4772752465470824
CSI 300,2023-12-31,14.015879733525333,1.6314146868859307
CSI 300,2024-03-31,14.822572007431003,1.7342817039054026
CSI 300,2024-06-30,17.363488347027296,2.0421412423312035
CSI 300,2024-09-30,15.940477637826607,1.8845255818591247
CSI 300,2024-12-31,14.855445513939777,1.7653829567595902
CSI 300,2025-03-31,15.11387356451874,1.8054303668774923
CSI 300,2025-06-30,17.043798934522165,2.046557482224568
CSI 300,2025-09-30,14.99268049909332,1.8096259827240164
CSI 300,2025-12-31,15.68640594994583,1.90320253277152
CSI 500,2020-12-31,20.5,2.0
CSI 500,2021-03-31,20.431734089787867,2.0026765135932196
CSI 500,2021-06-30,27.66503578305917,2.7243703804467225
CSI 500,2021-09-30,27.409055330591684,2.711804048456568
CSI 500,2021-12-31,27.578274010079724,2.7413261635642656
CSI 500,2022-03-31,26.904194469014403,2.6868482792082236
CSI 500,2022-06-30,26.40937049733599,2.649784125303166
CSI 500,2022-09-30,31.357269012947878,3.160971594022787
CSI 500,2022-12-31,32.27433594590631,3.268654724183196
CSI 500,2023-03-31,33.821971943442215,3.4414374917053316
CSI 500,2023-06-30,33.48189299856282,3.422794815971926
CSI 500,2023-09-30,31.762656289541184,3.262245659876996
CSI 500,2023-12-31,31.517210182934825,3.252199906917368
CSI 500,2024-03-31,28.878413372297587,2.9938651761876156
CSI 500,2024-06-30,26.09468861766805,2.7179426308182917
CSI 500,2024-09-30,23.08748969287634,2.4159849988383724
CSI 500,2024-12-31,21.221219584169535,2.231092805982657
CSI 500,2025-03-31,24.517533094631695,2.589723707391606
CSI 500,2025-06-30,19.28535181179726,2.04660412760722
CSI 500,2025-09-30,17.610077961254888,1.8775736659894313
CSI 500,2025-12-31,18.40799529126426,1.9718383352266118
ChiNext,2020-12-31,36.5,4.1
ChiNext,2021-03-31,45.60524647451757,5.141479713455665
