symbol,date,close_price,currency
CHN300,2020-12-31,4.2000,CNY
CHN300,2021-01-31,4.1260,CNY
CHN300,2021-02-28,4.6211,CNY
CHN300,2021-03-31,4.8472,CNY
CHN300,2021-04-30,4.9804,CNY
CHN300,2021-05-31,5.0540,CNY
CHN300,2021-06-30,4.6831,CNY
CHN300,2021-07-31,4.4256,CNY
CHN300,2021-08-31,4.3472,CNY
CHN300,2021-09-30,4.6329,CNY
CHN300,2021-10-31,5.0970,CNY
CHN300,2021-11-30,4.6417,CNY
CHN300,2021-12-31,4.3739,CNY
CHN300,2022-01-31,4.4271,CNY
CHN300,2022-02-28,3.9848,CNY
CHN300,2022-03-31,4.0456,CNY
CHN300,2022-04-30,4.0411,CNY
CHN300,2022-05-31,4.0701,CNY
CHN300,2022-06-30,4.1341,CNY
CHN300,2022-07-31,3.7932,CNY
CHN300,2022-08-31,3.8128,CNY
CHN300,2022-09-30,4.0561,CNY
CHN300,2022-10-31,3.8112,CNY
CHN300,2022-11-30,3.5546,CNY
CHN300,2022-12-31,3.7515,CNY
CHN300,2023-01-31,3.7228,CNY
CHN300,2023-02-28,4.0459,CNY
CHN300,2023-03-31,4.0468,CNY
CHN300,2023-04-30,4.2228,CNY
CHN300,2023-05-31,4.6752,CNY
CHN300,2023-06-30,4.6048,CNY
CHN300,2023-07-31,4.6444,CNY
CHN300,2023-08-31,4.8857,CNY
CHN300,2023-09-30,4.9310,CNY
CHN300,2023-10-31,5.3414,CNY
CHN300,2023-11-30,5.7952,CNY
CHN300,2023-12-31,5.4986,CNY
CHN300,2024-01-31,5.9022,CNY
CHN300,2024-02-29,5.9978,CNY
CHN300,2024-03-31,5.9023,CNY
CHN300,2024-04-30,6.1836,CNY
CHN300,2024-05-31,6.7567,CNY
CHN300,2024-06-30,7.0178,CNY
CHN300,2024-07-31,7.4604,CNY
CHN300,2024-08-31,6.7480,CNY
CHN300,2024-09-30,6.5393,CNY
CHN300,2024-10-31,6.2619,CNY
CHN300,2024-11-30,6.2238,CNY
CHN300,2024-12-31,6.1856,CNY
CHN300,2025-01-31,6.0445,CNY
CHN300,2025-02-28,6.7699,CNY
CHN300,2025-03-31,6.3876,CNY
CHN300,2025-04-30,6.8797,CNY
CHN300,2025-05-31,6.9129,CNY
CHN300,2025-06-30,7.3113,CNY
CHN300,2025-07-31,6.7152,CNY
CHN300,2025-08-31,6.8844,CNY
CHN300,2025-09-30,6.5279,CNY
CHN300,2025-10-31,7.1374,CNY
